,city_id,block_id,opportunity_cost
122,360,8b30a4a9a8d9fff,"{'9': 1.8526378293832142, '10': 0.0, '11': 0.0}"
123,360,8b30a4a9a8ddfff,"{'9': 1.8526378293832142, '10': 0.0, '11': 0.0}"
124,360,8b30a4a9a8dbfff,"{'9': 1.8526378293832142, '10': 0.0, '11': 0.0}"
125,360,8b30a4a9a8d8fff,"{'9': 1.8526378293832142, '10': 0.0, '11': 0.0}"
126,360,8b30a4a9a8dafff,"{'9': 1.8526378293832142, '10': 0.0, '11': 0.0}"
127,360,8b30a4a9a8dcfff,"{'9': 1.8526378293832142, '10': 0.0, '11': 0.0}"
128,360,8b30a4a9a8defff,"{'9': 1.8526378293832142, '10': 0.0, '11': 0.0}"
129,360,8b30a406802cfff,"{'9': 0.5272605703274409, '10': 0.6669043704867363, '11': 0.7009869816933395}"
130,360,8b30a406802afff,"{'9': 0.5272605703274409, '10': 0.6669043704867363, '11': 0.0}"
131,360,8b30a4068028fff,"{'9': 0.5272605703274409, '10': 0.6669043704867363, '11': 0.0}"
132,360,8b30a4068029fff,"{'9': 0.5272605703274409, '10': 0.6669043704867363, '11': 0.0}"
133,360,8b30a406802bfff,"{'9': 0.5272605703274409, '10': 0.6669043704867363, '11': 0.0}"
134,360,8b30a406802dfff,"{'9': 0.5272605703274409, '10': 0.6669043704867363, '11': 0.0}"
135,360,8b30a406802efff,"{'9': 0.5272605703274409, '10': 0.6669043704867363, '11': 0.0}"
136,360,8b30a406835bfff,"{'9': 0.0, '10': 0.5, '11': 0.0}"
137,360,8b30a406835efff,"{'9': 0.0, '10': 0.5, '11': 0.0}"
138,360,8b30a406835cfff,"{'9': 0.0, '10': 0.5, '11': 0.0}"
139,360,8b30a406835afff,"{'9': 0.0, '10': 0.5, '11': 0.0}"
140,360,8b30a406835dfff,"{'9': 0.0, '10': 0.5, '11': 0.0}"
141,360,8b30a4068359fff,"{'9': 0.0, '10': 0.5, '11': 0.0}"
142,360,8b30a4068358fff,"{'9': 0.0, '10': 0.5, '11': 0.0}"
143,360,8b30a4a9a8f3fff,"{'9': 1.8526378293832142, '10': 2.459482729434967, '11': 0.0}"
144,360,8b30a4a9a8f4fff,"{'9': 1.8526378293832142, '10': 2.459482729434967, '11': 0.0}"
145,360,8b30a4a9a8f2fff,"{'9': 1.8526378293832142, '10': 2.459482729434967, '11': 0.0}"
146,360,8b30a4a9a8f0fff,"{'9': 1.8526378293832142, '10': 2.459482729434967, '11': 0.0}"
147,360,8b30a4a9a8f1fff,"{'9': 1.8526378293832142, '10': 2.459482729434967, '11': 0.7138260687513305}"
148,360,8b30a4a9a8f5fff,"{'9': 1.8526378293832142, '10': 2.459482729434967, '11': 1.2061384478530326}"
149,360,8b30a4a9a8f6fff,"{'9': 1.8526378293832142, '10': 2.459482729434967, '11': 0.0}"
150,360,8b30a4a9e71cfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
151,360,8b30a4a9e71dfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
152,360,8b30a4a9e71efff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
153,360,8b30a4a9e71afff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
