,station_id,station_point
99,565539,103.78088561339001|25.511349622538223
100,565587,103.80330819035082|25.512896297063488
101,565589,103.80352945518015|25.512011396159146
102,565593,103.80528906234868|25.500425720226833
103,565596,103.80366407764086|25.511111164658956
104,565712,103.75120028777401|25.52448625385137
105,591552,103.79907192154654|25.49413407189485
106,591556,103.79967326162931|25.49397758701119
107,591569,103.73609854596785|25.52607896574482
108,591646,103.81695208048207|25.48265008735072
109,591676,103.81355883512961|25.479762151329385
110,591687,103.72098983911074|25.507697657818433
111,591739,103.80915162671543|25.522681022130357
112,592123,103.80145661710905|25.51873833179092
113,592129,103.76916488482225|25.51154303334648
114,592201,103.7918655921938|25.514110363955098
115,592496,103.80515692255562|25.526684239227965
116,175053,103.75202713291998|25.51585129470616
117,175108,103.77348765153997|25.525934762395
118,175421,103.7654185075328|25.52540928861717
119,175471,103.76548814736753|25.52572848161063
120,175482,103.77483684131442|25.52238065877888
121,175487,103.77472282161995|25.52211993891038
122,175513,103.76574425804993|25.526484971716354
123,175558,103.75023052189997|25.524271904737873
124,175656,103.75810781015569|25.524737748883133
125,175676,103.75693742590461|25.52471276183022
126,175678,103.74657441846998|25.5308131588688
127,175681,103.74686873047926|25.529949573312685
128,175913,103.74724314592532|25.528893525813647
129,176131,103.74814196159|25.524491988038
130,176202,103.75133925192934|25.523656108143552
131,176204,103.75171969888092|25.523731238762174
132,593353,103.78708974702711|25.4983793939215
133,607073,103.80058945711875|25.532002502678917
134,609485,103.82508265002315|25.45996285374566
135,611331,103.80512212616227|25.49815892429034
136,613045,103.82381851264093|25.50732811383412
137,613083,103.82708364885389|25.534863357080503
138,613086,103.81671990922385|25.542685608913004
139,613088,103.8204769436595|25.541091328393577
140,622756,103.82871493264847|25.459060082773043
141,622957,103.79039783544216|25.495899787556958
142,623691,103.75629599999999|25.5387610018055
143,625135,103.757179226108|25.54623571552964
144,636509,103.80596485808552|25.508273095977106
145,636585,103.80929624110813|25.497047385179904
146,636625,103.77188743396994|25.52462554309894
147,636636,103.7390169890569|25.5377981008044
148,636643,103.772780421387|25.51711535272477
149,636647,103.81289116636746|25.51993389526964
150,636662,103.8020904468686|25.4865900162104
151,636681,103.75557902470278|25.509326179849673
152,636696,103.80836369078608|25.499458434602975
153,636703,103.78797600085043|25.50415370435666
154,636729,103.81872644037477|25.469589186734183
155,636930,103.8196752599028|25.463026095749775
156,637089,103.81327323421736|25.47984835350858
157,637469,103.8152437587369|25.461296546910216
158,637961,103.74374196320012|25.53998713751661
159,162817,103.81925617687462|25.512405546493955
160,165030,103.80536509948426|25.53120633772884
161,165096,103.80114354732652|25.531311689346342
162,165104,103.80134485685686|25.53117719914688
163,165126,103.81146945925218|25.516544487473595
164,165175,103.80212036527425|25.52026941874415
165,165811,103.74843391087997|25.52460203275516
166,165850,103.82312801401|25.517253408298
167,165875,103.83561380621009|25.542475166177912
168,165946,103.80351075266796|25.512236957918223
169,165971,103.76609941726207|25.528317060732977
170,165977,103.80393103959854|25.510482352863896
171,166014,103.80593520105057|25.508836404458073
172,166038,103.80525161619515|25.507259974346336
173,166041,103.80534030551688|25.506657873212216
174,166045,103.81912157142997|25.49642780619771
175,166052,103.80530563268997|25.505779194768323
176,166221,103.77177188801988|25.524622419533426
177,166229,103.80472173422672|25.492015982476012
178,166236,103.80460088246356|25.491041129688966
179,166286,103.76800136708064|25.52422187708062
180,166543,103.80820964737875|25.520405435471545
181,166546,103.80821974594691|25.520699925883903
182,166625,103.80853071708455|25.52948513826578
183,166637,103.81157580514999|25.479647271192405
184,166660,103.82491699956606|25.460151288217165
185,166687,103.82689514302426|25.46024077582233
186,166721,103.78133884169998|25.518052284526203
187,166929,103.7849590129|25.50754013858
188,166979,103.80176621008833|25.486686323156864
189,166982,103.80209227266423|25.48638349639068
190,167019,103.74714933399994|25.524259679913335
191,167262,103.81765284193|25.482680659701
192,167346,103.8090852932921|25.50047032069622
193,167355,103.80432647968995|25.500912001625057
194,167359,103.80315868252997|25.501172892212463
195,167386,103.79846054470997|25.504438086161528
196,167470,103.79968224019997|25.51900603512394
197,167483,103.80144030982868|25.524150519225586
